url_id,title,llm_category,embedding_category,confidence,correct
8467,Invasion de l’Ukraine en cartes : l’évolution des combats semaine après semaine,geopolitica,geopolitica,0.8485038783575439,True
8466,"Clara Verduch, entrenadora: «En Barre los cambios físicos se ven muy rápido en comparación a otros deportes»",deportes,deportes,0.88448048358478,True
8465,"Puigdemont acusa a jueces, periodistas y políticos de perpetuar el franquismo",politica,geopolitica,0.8450058338322451,False
8464,Shein bajo la lupa: Greenpeace encuentra sustancias tóxicas en sus prendas,tecnologia,tecnologia,0.8650449676053422,True
8463,Italia extradita a Alemania al cerebro logístico del sabotaje del gasoducto Nord Stream,geopolitica,geopolitica,0.8672844678619454,True
8462,Bruselas rechaza que el plan de paz de EE.UU. y Rusia no tenga en cuenta a Ucrania y la UE,geopolitica,geopolitica,0.8723549520518048,True
8461,El juez Peinado encarga un informe para esclarecer si Begoña Gómez cometió intrusismo al firmar pliegos de contratación de la UCM,politica,politica,0.8574711884446069,True
8460,El Gobierno eleva su oferta salarial a los funcionarios un punto: 11% entre 2025 y 2028,politica,economia,0.8807680647482989,False
8458,Así ha sido la tercera edición de EXPANSIÓN IA Inteligencia Artificial y Nuevas Tecnologías,tecnologia,tecnologia,0.896091096742691,True
8456,Cómo evitar que su agente de IA sea un socio brillante sin estrategia,tecnologia,tecnologia,0.8482673400601823,True
8455,Pfizer presenta resultados prometedores de su nueva vacuna ARNm contra la gripe,tecnologia,tecnologia,0.88492859951361,True
8454,El fotógrafo que nos hace mirar de otra manera La Alhambra de Granada y la Mezquita de Córdoba,sociedad,sociedad,0.8571529094609214,True
8453,"Más de 50 estrellas Michelin homenajean a Berasategui: ""La revolución de la cocina española es la unidad del sector""",sociedad,sociedad,0.8744289158977874,True
8452,Nokia escindirá la filial de IA para impulsar su negocio,finanzas,finanzas,0.8566032204330358,True
8451,KPMG lanza un nuevo negocio para 'start up' y se refuerza con el fichaje de Marta Echarri,finanzas,finanzas,0.8643707280937462,True
8448,Ceca rompe con el equipo investigado por la trama al ex jefe de la UDEF,politica,geopolitica,0.8587270519175519,False
8446,Probamos las nuevas gafas inteligentes Meta Oakley Vanguard,tecnologia,tecnologia,0.8946005008885463,True
8445,Coruñesas reabrirá su pescadería de Recoletos aliado con Los 33,sociedad,sociedad,0.8594921519829848,True
8443,"'Bernabéu Infinito', la alianza del Real Madrid con Apple para ""abrir las puertas a todo el planeta""",sociedad,tecnologia,0.8763664328118932,False
8442,ArcelorMittal: un valor bien soportado y con mucho potencial,finanzas,finanzas,0.8777451229677695,True
8441,Nvidia bate las previsiones y gana un 65% más en el tercer trimestre,finanzas,finanzas,0.8811245874776656,True
8440,"Naturgy: el canal alcista, dibujado con escuadra y cartabón",finanzas,sociedad,0.8548431324482728,False
8438,Valores Ibex 35,finanzas,finanzas,0.9029603323588866,True
8437,Precio Gasolina hoy,finanzas,finanzas,0.8931776193937372,True
8436,Euríbor hoy,economia,geopolitica,0.878866363495479,False
8431,La londinense Bond Street tiene el alquiler más caro del mundo,economia,finanzas,0.8484421329107783,False
8430,Nace el primer sistema para medir las emisiones de CO2 de la economía digital en España,tecnologia,tecnologia,0.8608294254385409,True
8429,"Endesa convence con sus cuentas, pero sufre 'mal de altura'",finanzas,finanzas,0.8754028175324067,True
8428,Foodiverse sale de pérdidas tras reordenar su deuda,finanzas,finanzas,0.871271370070509,True
8427,Selenta (Brookfield) busca crecer con contratos de gestión y dar el salto internacional,finanzas,finanzas,0.8756755380122879,True
8426,Reino Unido elevará a 120.000 libras la garantía de depósitos,finanzas,finanzas,0.8782420445712374,True
8425,Deutsche Bank rebaja a la mitad su valoración de eDreams,finanzas,finanzas,0.877098473860659,True
8424,"Hacienda prorroga el sistema de módulos para autónomos, pero deja los límites en el aire",economia,politica,0.8617445185174974,False
8423,"Axa prevé cerrar de forma inminente su entrada en Fiberpass, la firma de Telefónica y Vodafone",finanzas,finanzas,0.8759486269356661,True
8422,El Senado aprueba la propuesta del PP para despenalizar el corte de suministros a los 'okupas',politica,politica,0.8500422951791349,True
8421,Cuánto subirán las pensiones a partir del 1 de enero de 2026,economia,economia,0.8664491388980536,True
8420,"Sostenibilidad, digitalización y formación revolucionan la industria",tecnologia,tecnologia,0.8934758691771247,True
8419,La noruega Kongsberg desembarca en España ante la eclosión de fondos públicos para Defensa,geopolitica,geopolitica,0.8594683300971118,True
8418,Santander AM prevé que las bolsas escalen a nuevos máximos y destaca que la española está barata,finanzas,finanzas,0.8948163292240086,True
8417,Santander lanza el 'Depósito iPhone' para dinero nuevo y ganar clientes vinculados,finanzas,finanzas,0.8610382922672439,True
8416,El seguro gana un 11% más impulsado por autos y salud,finanzas,finanzas,0.8788960883699919,True
8415,El objetivo de triplicar la energía nuclear requiere que EEUU y Europa igualen a China,tecnologia,geopolitica,0.881061302248428,False
8414,Las cuatro bazas de Europa para superar a Wall Street persistentemente,finanzas,finanzas,0.8931025564316618,True
8413,"Ceuta irrumpe con Endesa, REE y Templus en 'data center'",finanzas,finanzas,0.8716678277127095,True
8412,Redeia negociará con Iberdrola y Endesa el plan antiapagones,finanzas,tecnologia,0.8650839377451691,False
8411,Cómo impulsan el negocio familiar Torrons Vicens y Kave Home,finanzas,finanzas,0.8710085668000027,True
8410,El Gobierno eleva su oferta de subida de sueldo a funcionarios al 11% hasta 2028,politica,economia,0.8850306718104388,False
8409,El debate de investidura en Valencia será el 27 de noviembre,politica,politica,0.847633526555862,True
8408,"De París a la COP30: un éxito en el freno de las emisiones que no basta, faltan más renovables",tecnologia,tecnologia,0.8756764309536068,True
8407,"La patronal de Inditex, Mango y Tendam ofrece una subida salarial anual del 3%",economia,economia,0.8881733362099141,True
8406,"El CEO que relevó a Ana Botín en Santander UK, nuevo presidente de Jupiter",finanzas,finanzas,0.8434021134145913,True
8405,"Ricardo Pumar: ""Insur espera crecer más de un 60% hasta 2030""",finanzas,economia,0.8782107686063778,False
8404,Los fabricantes de helicópteros sobrevuelan un mercado cada vez más pequeño,finanzas,finanzas,0.8695608344402016,True
8403,"La brecha de precios con el euro, una amenaza para las exportaciones españolas",economia,finanzas,0.8561071534493329,False
8402,"Inflación, pesado lastre para las exportaciones",economia,economia,0.8979137136376578,True
8401,Europa y la carrera por los recursos naturales,geopolitica,geopolitica,0.8670485063533863,True
8400,Cerdán desbarata el plan de Sánchez,politica,politica,0.8714797617391535,True
8399,"Un Presupuesto ""irresistible"", ¿como la corrupción?",politica,politica,0.8679906879371384,True
8398,La última oportunidad de Europa para no perder el tren de la inteligencia artificial,tecnologia,tecnologia,0.8650681628494958,True
8397,Inditex bate a LVMH como líder mundial de la moda,finanzas,sociedad,0.877579064935457,False
8396,Hacienda disparará el control a los pagos por Bizum y con tarjeta desde 2026,politica,economia,0.8716879105463043,False
8394,Super Mario Bros cumple cuarenta años con un negocio en plena forma,tecnologia,sociedad,0.8629435907498737,False
8393,Cómo debe trabajar un líder la comunicación de forma eficaz,otros,geopolitica,0.8448747032005686,False
8392,"Todd Green (King): ""Siempre he disfrutado del proceso de sintetizar""",otros,deportes,0.8658376217880981,False
8391,El grupo japonés Sojitz toma el control de Nexus Energía,finanzas,tecnologia,0.8796102577717592,False
8390,Bankinter modifica la cúpula para crecer en pagos digitales,finanzas,economia,0.8651915332595332,False
8389,"JPMorgan 'deposita' su confianza en CaixaBank, relanzado en el Ibex",finanzas,finanzas,0.8727928139424327,True
8386,"Sergio Atares: ""La innovación no es un departamento, es nuestra forma de trabajar""",tecnologia,tecnologia,0.8629725031181028,True
8385,"Deloitte incorpora a 1.500 recién graduados, un 30% más",finanzas,finanzas,0.8743688706066157,True
8384,Los ascensos a socios en las Big Four se hunden a mínimos de cinco años,finanzas,finanzas,0.8748565561618884,True
8383,"Juan Roig: ""Vamos a continuar reclamando el Corredor Mediterráneo. Algún día llegará un ministro al que creamos""",politica,deportes,0.8596005983797146,False
8382,Mapfre ultima la compra de las oficinas Ombú a Acciona,finanzas,finanzas,0.8838021269759919,True
8381,"La CNMC permitirá a Aena subir las tarifas un 6,44% en 2026",economia,economia,0.8819289926180454,True
8380,¿Celebrar la muerte de Franco o la proclamación del Rey Juan Carlos?,politica,deportes,0.8502781659143916,False
8379,Éxitos y fracasos de la economía española en el tardofranquismo y la Democracia,politica,economia,0.8645978760510051,False
8378,Del 20-N de 1975 al 20-N de 2025,politica,politica,0.8831317826513829,True
8377,La Rioja: el arte de las pequeñas cosas aplicado a los grandes eventos,otros,sociedad,0.8633875921965337,False
8376,El 'efecto Nvidia' frena la caída del bitcoin,finanzas,finanzas,0.8729831320249595,True
8375,La división de la Fed enfría el recorte de tipos en diciembre,finanzas,economia,0.879807791379094,False
8374,Cuándo y cómo va a estallar la próxima corrección,finanzas,finanzas,0.8734269153047274,True
8373,JPMorgan tiene criterios opuestos ante la burbuja en IA,finanzas,finanzas,0.8834456702295984,True
8372,Jefferies cree que BBVA recomprará 6.000 millones,finanzas,finanzas,0.8897616006979658,True
8371,Las siete grandes apuestas de BlackRock en Europa,finanzas,finanzas,0.8808096235425964,True
8370,Meta deberá pagar 479 millones a los medios españoles por competencia desleal,finanzas,finanzas,0.865373123463204,True
8369,El Constitucional avala los anticipos fiscales que Hacienda cobra a las grandes empresas,politica,finanzas,0.8600364071086951,False
8368,El Gobierno eleva su oferta de subida de sueldo a los funcionarios al 11% hasta 2028,politica,economia,0.8820477119350603,False
8367,Así gestiona su fortuna Amancio Ortega,finanzas,sociedad,0.8723198924523587,False
8366,Amancio Ortega compra The Post en Canadá por cerca de 700 millones,finanzas,finanzas,0.8658125985372349,True
8365,"Cuáles son las profesiones del futuro, con Juanjo Amorín.",finanzas,tecnologia,0.8884576876535004,False
8364,"Cómo detectar las oportunidades de inversión ""invisibles"", con Iván Martín, de Magallanes.",finanzas,finanzas,0.8912280113491471,True
8363,"La Primera de Expansión sobre Acciona, PwC, Santander, Larry Summers, Nvidia y Bankinter.",finanzas,finanzas,0.9143057224470024,True
8351,Valores Bolsa,finanzas,finanzas,0.9125958178568809,True
8350,Santander First Brands,finanzas,sociedad,0.8565108579379739,False
8349,Santander dividendos,finanzas,finanzas,0.891452599505006,True
8348,Nieve alerta España,sociedad,geopolitica,0.8767927193073605,False
8347,Crónica Bolsa,finanzas,finanzas,0.9151998694005261,True
8346,Subida sueldo funcionarios,politica,politica,0.8984117513963443,True
8345,Mahou transformará bares,economia,sociedad,0.8910616887909529,False
8344,ETF renta fija,finanzas,economia,0.8905699459033632,False
8343,Banco Sabadell,finanzas,finanzas,0.8582006892210734,True
